class_id,id,enrolled,capacity,message,timestamp
WINTER 2024 09464,98908,180,180,"",2023-11-21 00:00:00.000000
WINTER 2024 09522,98909,0,60,"",2023-11-21 00:00:00.000000
WINTER 2024 09548,98910,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 09555,98911,45,45,"",2023-11-21 00:00:00.000000
WINTER 2024 56200,98912,158,158,"",2023-11-21 00:00:00.000000
WINTER 2024 09589,98913,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 09597,98914,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 09621,98915,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 56218,98916,74,74,"",2023-11-21 00:00:00.000000
WINTER 2024 56226,98917,159,158,"",2023-11-21 00:00:00.000000
WINTER 2024 09639,98918,50,50,"",2023-11-21 00:00:00.000000
WINTER 2024 09647,98919,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 09654,98920,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 09662,98921,74,74,"",2023-11-21 00:00:00.000000
WINTER 2024 09670,98922,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 09688,98923,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 71084,98924,0,79,"",2023-11-21 00:00:00.000000
WINTER 2024 56234,98925,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 09712,98926,90,90,"",2023-11-21 00:00:00.000000
WINTER 2024 09738,98927,30,30,"",2023-11-21 00:00:00.000000
WINTER 2024 56242,98928,30,30,"",2023-11-21 00:00:00.000000
WINTER 2024 09746,98929,74,74,"",2023-11-21 00:00:00.000000
WINTER 2024 56259,98930,50,50,"",2023-11-21 00:00:00.000000
WINTER 2024 09753,98931,0,15,"",2023-11-21 00:00:00.000000
WINTER 2024 56275,98932,0,79,"",2023-11-21 00:00:00.000000
WINTER 2024 56283,98933,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 09761,98934,79,79,"",2023-11-21 00:00:00.000000
WINTER 2024 56291,98935,0,30,"",2023-11-21 00:00:00.000000
WINTER 2024 09779,98936,0,50,"",2023-11-21 00:00:00.000000
WINTER 2024 09787,98937,0,50,"",2023-11-21 00:00:00.000000
WINTER 2024 09795,98938,0,10,"",2023-11-21 00:00:00.000000
WINTER 2024 09803,98939,0,60,"",2023-11-21 00:00:00.000000
WINTER 2024 62935,98940,15,15,"",2023-11-21 00:00:00.000000
WINTER 2024 51045,98941,8,15,"",2023-11-21 00:00:00.000000
WINTER 2024 51011,98942,11,20,"",2023-11-21 00:00:00.000000
WINTER 2024 51029,98943,20,18,"",2023-11-21 00:00:00.000000
WINTER 2024 55145,98944,13,15,"",2023-11-21 00:00:00.000000
WINTER 2024 51003,98945,2,20,"",2023-11-21 00:00:00.000000
WINTER 2024 50997,98946,9,16,"",2023-11-21 00:00:00.000000
WINTER 2024 49049,98947,5,5,"",2023-11-21 00:00:00.000000
WINTER 2024 49056,98948,6,5,"",2023-11-21 00:00:00.000000
WINTER 2024 49064,98949,0,5,"",2023-11-21 00:00:00.000000
WINTER 2024 49106,98950,13,25,"",2023-11-21 00:00:00.000000
WINTER 2024 49114,98951,0,1,"",2023-11-21 00:00:00.000000
WINTER 2024 49122,98952,0,1,"",2023-11-21 00:00:00.000000
WINTER 2024 49130,98953,0,1,"",2023-11-21 00:00:00.000000
WINTER 2024 22426,98954,240,240,"",2023-11-21 00:00:00.000000
WINTER 2024 54791,98955,120,120,"",2023-11-21 00:00:00.000000
WINTER 2024 22442,98956,239,240,"",2023-11-21 00:00:00.000000
WINTER 2024 22566,98957,0,15,"",2023-11-21 00:00:00.000000
WINTER 2024 54858,98958,12,30,"",2023-11-21 00:00:00.000000
WINTER 2024 54874,98959,13,30,"",2023-11-21 00:00:00.000000
