id,enrollment_code,class_id,days,time,location
WINTER 2022 53488,53488,WINTER 2022 53488,0100000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",SH 3707
WINTER 2022 53496,53496,WINTER 2022 53488,0100000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",SH 3707
WINTER 2022 53504,53504,WINTER 2022 53488,0100000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",SH 3707
WINTER 2022 02907,02907,WINTER 2022 02907,0010000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",SH 3707
WINTER 2022 02915,02915,WINTER 2022 02907,0010000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",SH 3707
WINTER 2022 02923,02923,WINTER 2022 02907,0010000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",SH 3707
WINTER 2022 53512,53512,WINTER 2022 02907,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",SH 3707
WINTER 2022 53520,53520,WINTER 2022 02907,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",SH 3707
WINTER 2022 53538,53538,WINTER 2022 02907,0000100,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",SH 3707
WINTER 2022 02949,02949,WINTER 2022 02949,1000000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",SH 3707
WINTER 2022 02956,02956,WINTER 2022 02949,1000000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",SH 3707
WINTER 2022 02964,02964,WINTER 2022 02949,1000000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",SH 3707
WINTER 2022 02972,02972,WINTER 2022 02949,0001000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",SH 3707
WINTER 2022 02980,02980,WINTER 2022 02949,0001000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",SH 3707
WINTER 2022 02998,02998,WINTER 2022 02949,0001000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",SH 3707
WINTER 2022 59196,59196,WINTER 2022 59196,0001000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",HSSB 1214
WINTER 2022 59204,59204,WINTER 2022 59196,0001000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1236
WINTER 2022 59212,59212,WINTER 2022 59196,0001000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",GIRV 2135
WINTER 2022 59220,59220,WINTER 2022 59196,0010000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",HSSB 4041
WINTER 2022 59238,59238,WINTER 2022 59196,0010000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",HSSB 1227
WINTER 2022 59246,59246,WINTER 2022 59196,0010000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",HSSB 3202
WINTER 2022 53678,53678,WINTER 2022 53678,0100000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",SH 3707
WINTER 2022 53686,53686,WINTER 2022 53678,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",SH 3707
WINTER 2022 53694,53694,WINTER 2022 53678,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",SH 3707
WINTER 2022 61036,61036,WINTER 2022 61036,0010000,"(""1900-01-01 17:00:00"",""1900-01-01 19:50:00"")",PHELP1425
WINTER 2022 53843,53843,WINTER 2022 53843,0010000,"(""1900-01-01 17:00:00"",""1900-01-01 19:50:00"")",ARTS 1349
WINTER 2022 04028,04028,WINTER 2022 04028,0010000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",ENGR21519
WINTER 2022 04119,04119,WINTER 2022 04119,0001000,"(""1900-01-01 08:00:00"",""1900-01-01 09:15:00"")",ESB 1003
WINTER 2022 05702,05702,WINTER 2022 05702,0100000,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N1652
WINTER 2022 05710,05710,WINTER 2022 05702,0100000,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N1662
WINTER 2022 05728,05728,WINTER 2022 05702,0100000,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N1652
WINTER 2022 05736,05736,WINTER 2022 05702,0100000,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N1662
WINTER 2022 05744,05744,WINTER 2022 05702,0100000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1652
WINTER 2022 05751,05751,WINTER 2022 05702,0100000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1662
WINTER 2022 05769,05769,WINTER 2022 05702,0100000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1670
WINTER 2022 05777,05777,WINTER 2022 05702,0001000,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N1652
WINTER 2022 05785,05785,WINTER 2022 05702,0001000,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N1662
WINTER 2022 05793,05793,WINTER 2022 05702,0001000,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N1652
WINTER 2022 05801,05801,WINTER 2022 05702,0001000,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N1662
WINTER 2022 05819,05819,WINTER 2022 05702,0001000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1652
WINTER 2022 05827,05827,WINTER 2022 05702,0001000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1662
