class_id,instructor_id
53140,VGVhY2hlci02MTM0MzY=
16857,VGVhY2hlci0zNDY2NzI=
16907,VGVhY2hlci0zNDY2NzI=
53165,VGVhY2hlci0yOTE3NDg4
53181,VGVhY2hlci0yNjY5OTIw
53223,VGVhY2hlci0yOTE3NDg4
69948,VGVhY2hlci0yOTE3NDg4
17103,VGVhY2hlci0xNTUwOTgz
17327,VGVhY2hlci0zNDY2OTA=
17426,VGVhY2hlci0yNTk0NDA5
17517,VGVhY2hlci0yMzU1MDc1
17574,VGVhY2hlci0yMzM2Njk0
17616,VGVhY2hlci0yNjEwMjc0
17749,VGVhY2hlci0xODg3NzM4
53280,VGVhY2hlci0yMzg2MTgy
53330,VGVhY2hlci0yMzg2MTgy
17780,VGVhY2hlci0zNDY2OTA=
17855,VGVhY2hlci0xMDg0Nzk3
17855,VGVhY2hlci05NTY4NDA=
17863,VGVhY2hlci0xNTUwOTgz
17863,VGVhY2hlci01OTI1MDU=
17905,VGVhY2hlci0zNDY2NzI=
13268,VGVhY2hlci0yNTU2MTM5
13615,VGVhY2hlci0xMTEyNjEw
13854,VGVhY2hlci0yMzQ2MjA4
13904,VGVhY2hlci0yMzQ2MjA4
14043,VGVhY2hlci0xMDMxMDg3
14084,VGVhY2hlci0xMDMxMDg3
14126,VGVhY2hlci0yNjc4NjA3
62893,VGVhY2hlci05MDc0MDU=
62893,VGVhY2hlci0xMTEyNjEw
14340,VGVhY2hlci0xNDY0Nzgz
14365,VGVhY2hlci02NDg0NDg=
14563,VGVhY2hlci03NDQyNDE=
14704,VGVhY2hlci0xNDE2NTM2
14712,VGVhY2hlci0xMDMxMDg3
14738,VGVhY2hlci0yMzQ2MjA4
14746,VGVhY2hlci03NjIzMDc=
14753,VGVhY2hlci03NjIzMDc=
14761,VGVhY2hlci0yMzQ2MjA4
14860,VGVhY2hlci0yMTQzNTM=
14902,VGVhY2hlci0yMTIzMDQw
14910,VGVhY2hlci0yMTQzNTM=
14928,VGVhY2hlci0yMTIzMDQw
14936,VGVhY2hlci0yMTIzMDQw
15040,VGVhY2hlci0yMTQzNTM=
15065,VGVhY2hlci03NzM5MzY=
53819,VGVhY2hlci0xMDk4NjI3
59618,VGVhY2hlci0xNTIzMTg0
15099,VGVhY2hlci0zMjY4Mzg=
15107,VGVhY2hlci0zMjY4Mzg=
15115,VGVhY2hlci0xOTgyMzg3
62265,VGVhY2hlci0yMzQ2MjA4
15123,VGVhY2hlci03NjIzMDc=
15131,VGVhY2hlci03NjIzMDc=
15156,VGVhY2hlci0yNTU0NTI3
15172,VGVhY2hlci0yNjIyNzMw
15529,VGVhY2hlci0xNTM2OTQ3
15669,VGVhY2hlci0yNjM0NTM0
15693,VGVhY2hlci0xOTgyNTk3
61135,VGVhY2hlci0yNjM0NTM0
15701,VGVhY2hlci0xMzQ2NTQ5
15719,VGVhY2hlci0xNjA2ODQ4
15727,VGVhY2hlci0xNTAzNDQ4
15784,VGVhY2hlci0yNzAyODY5
15834,VGVhY2hlci0yNDY0MDIx
15859,VGVhY2hlci0yNjY5OTQz
15875,VGVhY2hlci0xNzk2MTA3
11940,VGVhY2hlci0xMjQwOTgw
11965,VGVhY2hlci0yMzAzODAy
12005,VGVhY2hlci0yNTgzNjM1
12021,VGVhY2hlci0yMzg3MjQy
12120,VGVhY2hlci0yMzQyNTA0
12237,VGVhY2hlci01MjAwMjE=
12351,VGVhY2hlci0xMjQwOTgw
60046,VGVhY2hlci0xMjMxMzk5
12419,VGVhY2hlci01Njg5NTA=
12443,VGVhY2hlci0yNDAwODgw
12476,VGVhY2hlci0xODIxNDky
53702,VGVhY2hlci0yNTUwNDc3
12500,VGVhY2hlci0yNzA0OTkw
12542,VGVhY2hlci0yMjQ1ODU3
12583,VGVhY2hlci0xNjQ4NDQz
12609,VGVhY2hlci05MTM2ODg=
12641,VGVhY2hlci01MjAwMTM=
12666,VGVhY2hlci0xOTA2NTEz
12740,VGVhY2hlci01MjAwMjE=
12765,VGVhY2hlci0yMjQ1ODU3
74872,VGVhY2hlci0yNDk3MzM5
19307,VGVhY2hlci0xOTM3MzUx
19315,VGVhY2hlci0xOTM3MzUx
19323,VGVhY2hlci0xOTM3MzUx
19331,VGVhY2hlci0yMTA1NTk2
19331,VGVhY2hlci01MjAwMjE=
18291,VGVhY2hlci02NTE0MDY=
18507,VGVhY2hlci05MzI5NTE=
18515,VGVhY2hlci05MzI5NTE=
50617,VGVhY2hlci0xMjU5NzIz
50690,VGVhY2hlci0xMjU5NzIz
50294,VGVhY2hlci0yMDkxOTEw
50831,VGVhY2hlci00MjE1MDU=
18861,VGVhY2hlci0xNDA2MDc2
50492,VGVhY2hlci0xODI0MDc1
50427,VGVhY2hlci0xNTM3NTgy
62562,VGVhY2hlci0yMDIwMTQ1
50534,VGVhY2hlci0zNzQ2NzM=
51094,VGVhY2hlci0xMTEzMTQ3
50393,VGVhY2hlci0yMDkxOTEw
51078,VGVhY2hlci00NDYzMDk=
51052,VGVhY2hlci00NDYzMDk=
19042,VGVhY2hlci0yMjM3OTIy
51102,VGVhY2hlci0xMTEzMTQ3
19166,VGVhY2hlci00MjMzODk=
50179,VGVhY2hlci0yMjM3OTIy
50716,VGVhY2hlci0xMjU4Njk5
51037,VGVhY2hlci0yMzgzNTAx
19588,VGVhY2hlci0yOTI3ODY0
19653,VGVhY2hlci0xOTgxOTY3
19851,VGVhY2hlci0yNTcxNjQ4
19919,VGVhY2hlci0yMDM2MjY4
62570,VGVhY2hlci0yMDIwMTQ1
19927,VGVhY2hlci04MTYyMzQ=
56473,VGVhY2hlci0xNDgwNTM2
19935,VGVhY2hlci0yMjA0MzA2
56499,VGVhY2hlci0yNjEwMjc1
56556,VGVhY2hlci0yMjA0MzA2
19992,VGVhY2hlci04OTU2MjM=
56622,VGVhY2hlci0yMTUxMDMz
20172,VGVhY2hlci0yOTExNjUw
56630,VGVhY2hlci0yNjU0NzM0
20206,VGVhY2hlci0xNjc2NTY5
56648,VGVhY2hlci0yMTUxMDMz
20255,VGVhY2hlci0xOTk3MTQx
20305,VGVhY2hlci04NTQ=
56655,VGVhY2hlci0yMjcyNTU2
56663,VGVhY2hlci0yMjcyNTU2
20370,VGVhY2hlci0xNzAyOTky
21360,VGVhY2hlci0xMjcyNDk5
21394,VGVhY2hlci0xMjcyNDk5
21402,VGVhY2hlci0xMjcyNDk5
21410,VGVhY2hlci0xOTY5OTQ5
21428,VGVhY2hlci0xOTY5OTQ5
58891,VGVhY2hlci0xOTY5OTQ5
21444,VGVhY2hlci0yNTU4ODgz
21451,VGVhY2hlci0yNTU4ODgz
21477,VGVhY2hlci0yNTU4ODgz
21485,VGVhY2hlci0xMjcyNDk5
21493,VGVhY2hlci0xMjcyNDk5
21501,VGVhY2hlci0xMjcyNDk5
21519,VGVhY2hlci0xMjcyNDk5
20636,VGVhY2hlci0xMjcyNDk5
22442,VGVhY2hlci0yNjc4MTE4
54874,VGVhY2hlci0xMTk1NDU0
22608,VGVhY2hlci0yNjcyMDkz
54882,VGVhY2hlci0xMTk1NDU0
22624,VGVhY2hlci0xNjYwNjQ=
21543,VGVhY2hlci05NjM3MTM=
21691,VGVhY2hlci05NjM3MTM=
21766,VGVhY2hlci00MTk3Mw==
56689,VGVhY2hlci0xODI0ODA4
21899,VGVhY2hlci0yNjM5NzA2
21907,VGVhY2hlci0yMDIzOTEw
60251,VGVhY2hlci0yMDIzOTEw
63479,VGVhY2hlci0yOTUyNDc1
65623,VGVhY2hlci0zNjM5MTk=
56804,VGVhY2hlci0yMTIxNzg4
63461,VGVhY2hlci0yOTUyNDc1
21964,VGVhY2hlci05NjM5MDM=
56770,VGVhY2hlci0yMTIxNzg4
62471,VGVhY2hlci0xMDAzNTk0
22038,VGVhY2hlci0yNDY4MTEy
56820,VGVhY2hlci0yNjM5NzA2
56788,VGVhY2hlci0yMDQzNzk=
63016,VGVhY2hlci00MjgxMzk=
22160,VGVhY2hlci05NjM3MTM=
54510,VGVhY2hlci0yNTIwOTA2
22772,VGVhY2hlci0yODUyNzg5
22830,VGVhY2hlci0yODUyNzg5
22848,VGVhY2hlci0yMDU2NDQ2
63446,VGVhY2hlci0yMDU2NDQ2
22871,VGVhY2hlci0yMDU2NDQ2
61416,VGVhY2hlci0zNjM5MDI=
61788,VGVhY2hlci0yNTIwOTA2
22939,VGVhY2hlci0yNjg0NDY=
61366,VGVhY2hlci0yNjg0NDY=
61374,VGVhY2hlci01MjA0NzQ=
23093,VGVhY2hlci0yMzU0ODU3
23283,VGVhY2hlci0xODg2NzAx
59105,VGVhY2hlci0yOTY5NTk2
23499,VGVhY2hlci04MjI0MTA=
55905,VGVhY2hlci0xNDAwMzY1
55699,VGVhY2hlci0yNTUyMTcy
55673,VGVhY2hlci0xMjk3MTIx
23549,VGVhY2hlci04OTU2MjM=
55723,VGVhY2hlci0yMDU0OTIy
23689,VGVhY2hlci0yNjg4NDE5
63594,VGVhY2hlci0yNzgwMjQ4
23945,VGVhY2hlci0yODkyNzMw
51623,VGVhY2hlci0yODkyNzMw
23960,VGVhY2hlci0yMDk0NTU2
23978,VGVhY2hlci0yMDk0NTU2
23994,VGVhY2hlci0yNjU3Mjgz
24026,VGVhY2hlci0yMDIyODk1
24075,VGVhY2hlci0yMDk0NTU2
24083,VGVhY2hlci0yMDIyODk1
24109,VGVhY2hlci0yNjU3Mjgz
60236,VGVhY2hlci02NjY0NTM=
61358,VGVhY2hlci0yMzU5Mzc2
61341,VGVhY2hlci02NjY0NTM=
24240,VGVhY2hlci0yNTc0NDgw
24406,VGVhY2hlci0xNjkzOTgy
24471,VGVhY2hlci0yNTczNDg5
24539,VGVhY2hlci0yNTczNDg5
55459,VGVhY2hlci0yNTY0Njk0
24620,VGVhY2hlci0xNjkzOTgy
24646,VGVhY2hlci0xNTg5NjEy
24828,VGVhY2hlci04NjU3ODU=
54932,VGVhY2hlci0xNDk5Nzc=
24919,VGVhY2hlci0zMTUyNDg=
25361,VGVhY2hlci0yNDk5MzAy
25544,VGVhY2hlci0xNTY0Mjk=
54585,VGVhY2hlci0yNDk5MzAy
25577,VGVhY2hlci00MDgxNzI=
54759,VGVhY2hlci0xNDIyMTU4
25866,VGVhY2hlci0yNDk5NjA0
57570,VGVhY2hlci0yNDM3NTM2
57588,VGVhY2hlci0yMzQ2NDEx
26054,VGVhY2hlci0yMzQ2NDEx
55277,VGVhY2hlci0yNjgwNDU=
26070,VGVhY2hlci0xNTY0Mjk=
26088,VGVhY2hlci02Mjg5MzY=
55285,VGVhY2hlci02Mjg5MzY=
55293,VGVhY2hlci0zNjE4MjM=
55301,VGVhY2hlci05NzM0Ng==
55319,VGVhY2hlci0yNDM3NTM2
55327,VGVhY2hlci0yMjk0NTUz
57596,VGVhY2hlci0yMjk0NTUz
55350,VGVhY2hlci0yNDk5NjA0
55376,VGVhY2hlci0xOTg3NjU5
26278,VGVhY2hlci0zMTUyNDg=
55384,VGVhY2hlci01NDY4Nw==
26294,VGVhY2hlci01NDM5NjE=
26328,VGVhY2hlci0yNDM3NTM2
26336,VGVhY2hlci0yNDM3NTM2
26344,VGVhY2hlci0yNDM3NTM2
26583,VGVhY2hlci0yNTU3ODA2
26609,VGVhY2hlci0xODMxMjA1
55921,VGVhY2hlci01NDk0Nzk=
58909,VGVhY2hlci03NjI2ODc=
62968,VGVhY2hlci0yMzM3NDQ=
26625,VGVhY2hlci0yMzk0MTI5
26633,VGVhY2hlci0xNzMwMjMy
55939,VGVhY2hlci0xMjkyODI1
62745,VGVhY2hlci0xODkwNjY3
63248,VGVhY2hlci0yODk5NDg=
62588,VGVhY2hlci0zOTU4OTA=
62976,VGVhY2hlci0yNjAyMjUx
62687,VGVhY2hlci0xNTc0MTU=
62695,VGVhY2hlci01NjgwMjk=
63388,VGVhY2hlci0xNDE2NTM2
62729/3,VGVhY2hlci0xODQ1Nzky
55954,VGVhY2hlci05MzI5NTE=
63263,VGVhY2hlci05MzMwODA=
55608,VGVhY2hlci01NDk0Nzk=
55608,VGVhY2hlci0xMzYzNw==
