id,acronym,first_name,last_name,department,difficulty,rating,take_again_percentage,tags,reviews_cnt,img_url
VGVhY2hlci0xNTg1Mzk2,,Jan,Nederveen-Pieterse,Global Studies,4,2.1,11,"{Get ready to read,Tough grader,Graded by few things,Skip class? You won't pass.,EXTRA CREDIT,Respected,Lecture heavy,Participation matters,Lots of homework}",24,
VGVhY2hlci0yNzI3MzQ1,,Masako,Onakado,East Asian Languages amp Cultures,3,4,50,"{Participation matters,Skip class? You won't pass.,Clear grading criteria}",2,
VGVhY2hlci0yNzM1NTI4,,Adolfo,Holguin,Physics,3,4,100,"",1,
VGVhY2hlci02MDc4Nw==,,Omer,Egecioglu,Computer Science,3.6,2.6,35,"{Tough grader,Skip class? You won't pass.,Lots of homework,Get ready to read,Test heavy,Clear grading criteria,Lecture heavy,Graded by few things,Group projects,Amazing lectures ,EXTRA CREDIT,Would take again,Hilarious,Caring}",40,
VGVhY2hlci0zNDk3NTU=,,Stuart,Smith,Anthropology,3.3,2.6,50,"{Group projects,Get ready to read,So many papers,Lots of homework,Participation matters,Skip class? You won't pass.,Tough grader,Lecture heavy,Graded by few things,EXTRA CREDIT,Clear grading criteria,Amazing lectures ,Hilarious,Beware of pop quizzes,Caring}",99,https://www.anth.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Stuart%202015%20IMG_2601.jpg?itok=DhWMHCKm
VGVhY2hlci03NDc3ODQ=,BRAININ R,Risa,Brainin,Theater,2.8,4.8,100,"{Get ready to read,Gives good feedback,Caring}",6,
VGVhY2hlci0yNzM3NDQx,,Alanna,Bartolini,English,3,4.5,100,"{Caring,Participation matters,Gives good feedback,Graded by few things,Accessible outside class}",2,
VGVhY2hlci01MzY5NDQ=,RICE R E,Ronald,Rice,Communication,3.3,4.8,80,"{Clear grading criteria,Get ready to read,Gives good feedback,Hilarious,Caring,Respected,Tough grader,Skip class? You won't pass.,Tests are tough,Amazing lectures ,Test heavy,Graded by few things,Accessible outside class}",17,https://www.comm.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Rice-Profile.png?itok=1_GVFn8l
VGVhY2hlci0xNTAzNDQ4,OGRAIN C M,Christopher,Ograin,Mathematics,2.8,4.3,82,"{Clear grading criteria,Participation matters,Gives good feedback,Amazing lectures ,Respected,Test heavy,Caring,Tough grader,Skip class? You won't pass.,Would take again,Accessible outside class,Inspirational,Lots of homework,Group projects,Hilarious,Tests? Not many,Lecture heavy}",54,
VGVhY2hlci0yNjM4Nzkz,,Estibalitz,Ezkerra-Vega,Spanish,2,4.8,100,"{Caring,Gives good feedback,Accessible outside class,Respected,Lecture heavy,Participation matters,Amazing lectures ,Clear grading criteria,Inspirational,Hilarious,Graded by few things}",7,
VGVhY2hlci0yNTU4MzQy,ALVES J A,Jaime,Alves,Black Studies,3.6,2.8,43,"{Get ready to read,Graded by few things,Tough grader,Participation matters,Skip class? You won't pass.,Amazing lectures ,Inspirational,Lecture heavy,Lots of homework,Beware of pop quizzes,Caring}",14,https://www.blackstudies.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Jaime%20Profile_0.jpg?itok=rgQXqsyj
VGVhY2hlci0yMTI0MzQ5,,Christina,Kistler,Communication,2.3,4.9,100,"{Caring,Clear grading criteria,Gives good feedback,Inspirational,Participation matters,Amazing lectures ,Accessible outside class,Get ready to read,EXTRA CREDIT,Group projects,Lots of homework,Respected,Graded by few things}",10,
VGVhY2hlci0yNjg4MjU1,,Erik,Nelson,Sociology,1,1,0,{Get ready to read},1,
